_id,year,division,crime,count,count_cleared,covid_period
72,2021,D13,Property Theft,2,0,Post-COVID
73,2021,D52,Property Theft,3,0,Post-COVID
74,2019,D22,Property Theft,1,0,Pre-COVID
75,2017,D52,Sexual Violation,1,0,Pre-COVID
76,2020,D55,Home Invasion,7,0,Post-COVID
78,2017,D13,Property Theft,1,0,Pre-COVID
79,2021,D52,Property Theft,1,0,Post-COVID
80,2023,D43,Home Invasion,1,0,Post-COVID
81,2018,D12,Home Invasion,1,0,Pre-COVID
82,2019,D32,Home Invasion,3,0,Pre-COVID
85,2019,D23,Robbery-Financial,5,0,Pre-COVID
86,2020,D43,Property Theft,4,0,Post-COVID
87,2021,D32,Home Invasion,10,0,Post-COVID
88,2019,D42,Other,1,0,Pre-COVID
89,2018,D13,Home Invasion,4,0,Pre-COVID
90,2017,D55,Property Theft,1,0,Pre-COVID
91,2018,D52,Home Invasion,2,0,Pre-COVID
92,2018,D33,Home Invasion,8,0,Pre-COVID
93,2020,D55,Assault,1,0,Post-COVID
94,2016,D32,Property Theft,14,0,Pre-COVID
95,2016,D22,Home Invasion,2,0,Pre-COVID
96,2023,D22,Attempt Murder,2,0,Post-COVID
98,2020,D11,Robbery-Financial,2,0,Post-COVID
100,2020,D52,Robbery-Financial,1,0,Post-COVID
102,2023,D42,Property Theft,1,0,Post-COVID
103,2020,D55,Home Invasion,2,0,Post-COVID
104,2018,D43,Attempt Murder,1,0,Pre-COVID
105,2016,D13,Home Invasion,3,0,Pre-COVID
106,2022,D53,Sexual Violation,3,0,Post-COVID
107,2022,D41,Home Invasion,1,0,Post-COVID
108,2016,D33,Property Theft,2,0,Pre-COVID
110,2020,D41,Home Invasion,2,0,Post-COVID
111,2017,D33,Property Theft,1,0,Pre-COVID
112,2020,D12,Other,1,0,Post-COVID
113,2022,D32,Home Invasion,1,0,Post-COVID
115,2019,D14,Property Theft,2,0,Pre-COVID
116,2021,D12,Home Invasion,2,0,Post-COVID
117,2020,D53,Property Theft,3,0,Post-COVID
119,2021,D32,Home Invasion,2,0,Post-COVID
120,2018,D33,Home Invasion,4,0,Pre-COVID
122,2023,D23,Property Theft,1,0,Post-COVID
124,2018,D22,Other,1,0,Pre-COVID
125,2023,D55,Property Theft,4,0,Post-COVID
126,2018,D32,Home Invasion,5,0,Pre-COVID
127,2016,D33,Property Theft,1,0,Pre-COVID
128,2021,D13,Home Invasion,1,0,Post-COVID
129,2018,D23,Other,3,0,Pre-COVID
130,2016,D55,Home Invasion,1,0,Pre-COVID
132,2022,D42,Home Invasion,1,0,Post-COVID
133,2022,D23,Home Invasion,1,0,Post-COVID
134,2022,D23,Sexual Violation,2,0,Post-COVID
135,2018,D42,Property Theft,3,0,Pre-COVID
136,2023,D22,Home Invasion,2,0,Post-COVID
137,2021,D52,Robbery-Other,3,0,Post-COVID
138,2020,D12,Property Theft,2,0,Post-COVID
139,2017,D42,Property Theft,1,0,Pre-COVID
140,2019,D52,Home Invasion,5,0,Pre-COVID
141,2021,D14,Other,1,0,Post-COVID
144,2020,D11,Home Invasion,3,0,Post-COVID
145,2018,D13,Home Invasion,15,0,Pre-COVID
147,2019,D23,Property Theft,3,0,Pre-COVID
148,2021,D42,Home Invasion,18,0,Post-COVID
149,2020,D41,Sexual Violation,1,0,Post-COVID
150,2017,D22,Assault,1,0,Pre-COVID
152,2023,D42,Property Theft,2,0,Post-COVID
153,2019,D33,Home Invasion,6,0,Pre-COVID
154,2019,D11,Home Invasion,3,0,Pre-COVID
155,2021,D43,Robbery-Other,1,0,Post-COVID
156,2018,D22,Property Theft,11,0,Pre-COVID
157,2016,D14,Attempt Murder,2,0,Pre-COVID
158,2020,D32,Home Invasion,6,0,Post-COVID
160,2016,D22,Property Theft,1,0,Pre-COVID
161,2016,D43,Home Invasion,1,0,Pre-COVID
163,2020,D32,Home Invasion,1,0,Post-COVID
165,2018,D33,Home Invasion,3,0,Pre-COVID
166,2023,D41,Property Theft,2,0,Post-COVID
167,2016,D32,Home Invasion,1,0,Pre-COVID
168,2021,D41,Property Theft,30,0,Post-COVID
170,2022,D43,Home Invasion,1,0,Post-COVID
171,2016,D32,Home Invasion,9,0,Pre-COVID
172,2018,D23,Property Theft,8,0,Pre-COVID
173,2020,D53,Property Theft,10,0,Post-COVID
175,2023,D12,Assault,2,0,Post-COVID
176,2022,D53,Fraud,4,0,Post-COVID
177,2021,D53,Sexual Violation,2,0,Post-COVID
178,2017,NSA,Property Theft,33,0,Pre-COVID
179,2016,D53,Property Theft,1,0,Pre-COVID
180,2018,D53,Home Invasion,4,0,Pre-COVID
181,2019,D12,Property Theft,4,0,Pre-COVID
183,2022,D33,Property Theft,27,0,Post-COVID
184,2019,D42,Property Theft,1,0,Pre-COVID
185,2016,D23,Other,1,0,Pre-COVID
186,2016,D33,Home Invasion,7,0,Pre-COVID
187,2021,D32,Property Theft,1,0,Post-COVID
188,2022,D33,Home Invasion,6,0,Post-COVID
190,2022,D41,Home Invasion,1,0,Post-COVID
191,2016,D23,Fraud,1,0,Pre-COVID
192,2021,D52,Fraud,8,0,Post-COVID
194,2017,D53,Property Theft,4,0,Pre-COVID
195,2016,D22,Property Theft,2,0,Pre-COVID
196,2022,D32,Property Theft,1,0,Post-COVID
198,2017,D23,Other,1,0,Pre-COVID
199,2016,D55,Assault,1,0,Pre-COVID
200,2021,D12,Other,1,0,Post-COVID
201,2019,D55,Other,1,0,Pre-COVID
202,2017,D11,Property Theft,1,0,Pre-COVID
203,2022,D42,Home Invasion,1,0,Post-COVID
206,2020,D51,Home Invasion,1,0,Post-COVID
207,2017,D32,Other,1,0,Pre-COVID
208,2019,D31,Home Invasion,1,0,Pre-COVID
210,2018,D33,Property Theft,3,0,Pre-COVID
211,2017,D51,Assault,1,0,Pre-COVID
212,2019,D55,Assault,2,0,Pre-COVID
213,2023,D23,Robbery-Other,2,0,Post-COVID
215,2023,D13,Sexual Violation,9,0,Post-COVID
216,2019,D32,Home Invasion,11,0,Pre-COVID
217,2023,D31,Fraud,27,0,Post-COVID
218,2016,D55,Property Theft,7,0,Pre-COVID
219,2018,D23,Other,2,0,Pre-COVID
220,2022,D12,Robbery-Other,1,0,Post-COVID
221,2017,D23,Other,1,0,Pre-COVID
222,2021,D33,Property Theft,5,0,Post-COVID
223,2021,D53,Property Theft,1,0,Post-COVID
224,2022,D32,Home Invasion,25,0,Post-COVID
225,2020,D11,Home Invasion,1,0,Post-COVID
226,2020,D14,Home Invasion,4,0,Post-COVID
227,2020,D53,Home Invasion,2,0,Post-COVID
228,2019,D32,Property Theft,2,0,Pre-COVID
229,2021,D42,Sexual Violation,3,0,Post-COVID
230,2023,D22,Robbery-Other,9,0,Post-COVID
231,2020,D22,Home Invasion,1,0,Post-COVID
232,2018,D22,Home Invasion,2,0,Pre-COVID
233,2022,D53,Robbery-Other,1,0,Post-COVID
236,2017,D55,Property Theft,3,0,Pre-COVID
237,2017,D32,Home Invasion,3,0,Pre-COVID
239,2018,D12,Home Invasion,2,0,Pre-COVID
241,2016,D13,Home Invasion,4,0,Pre-COVID
242,2017,D53,Sexual Violation,1,0,Pre-COVID
243,2016,D53,Robbery-Financial,1,0,Pre-COVID
245,2018,D32,Attempt Murder,1,0,Pre-COVID
246,2021,D22,Home Invasion,3,0,Post-COVID
247,2017,D55,Sexual Violation,1,0,Pre-COVID
248,2020,D33,Robbery-Other,6,0,Post-COVID
249,2016,D52,Property Theft,1,0,Pre-COVID
251,2017,D43,Property Theft,2,0,Pre-COVID
252,2020,D53,Other,1,0,Post-COVID
253,2017,D11,Home Invasion,2,0,Pre-COVID
254,2020,D32,Home Invasion,1,0,Post-COVID
255,2023,D41,Sexual Violation,1,0,Post-COVID
257,2023,D13,Home Invasion,4,0,Post-COVID
258,2018,D55,Property Theft,1,0,Pre-COVID
259,2022,D33,Fraud,1,0,Post-COVID
261,2017,D43,Other,1,0,Pre-COVID
263,2018,D11,Fraud,1,0,Pre-COVID
264,2022,D33,Assault,1,0,Post-COVID
265,2021,D55,Home Invasion,7,0,Post-COVID
267,2017,D31,Home Invasion,12,0,Pre-COVID
269,2020,D55,Robbery-Financial,3,0,Post-COVID
270,2019,D11,Home Invasion,5,0,Pre-COVID
271,2020,D12,Home Invasion,2,0,Post-COVID
272,2016,D14,Home Invasion,3,0,Pre-COVID
273,2016,D32,Home Invasion,5,0,Pre-COVID
274,2018,D33,Property Theft,1,0,Pre-COVID
276,2017,D11,Robbery-Other,6,0,Pre-COVID
278,2020,D22,Home Invasion,2,0,Post-COVID
279,2016,D14,Fraud,1,0,Pre-COVID
280,2017,D51,Property Theft,1,0,Pre-COVID
282,2017,D52,Property Theft,1,0,Pre-COVID
285,2019,D13,Attempt Murder,2,0,Pre-COVID
287,2021,D33,Home Invasion,3,0,Post-COVID
289,2016,D53,Fraud,1,0,Pre-COVID
290,2021,D33,Assault,1,0,Post-COVID
293,2021,D53,Sexual Violation,1,0,Post-COVID
294,2018,D51,Home Invasion,2,0,Pre-COVID
295,2016,NSA,Property Theft,1,0,Pre-COVID
297,2021,D32,Home Invasion,15,0,Post-COVID
298,2018,D32,Home Invasion,15,0,Pre-COVID
299,2021,D12,Other,4,0,Post-COVID
300,2017,D53,Home Invasion,1,0,Pre-COVID
301,2018,D51,Property Theft,4,0,Pre-COVID
302,2019,D13,Home Invasion,5,0,Pre-COVID
303,2021,D43,Home Invasion,1,0,Post-COVID
305,2017,D55,Fraud,32,0,Pre-COVID
306,2020,D33,Property Theft,2,0,Post-COVID
307,2018,D13,Fraud,1,0,Pre-COVID
308,2018,D53,Home Invasion,3,0,Pre-COVID
310,2022,D42,Home Invasion,4,0,Post-COVID
311,2016,D31,Sexual Violation,1,0,Pre-COVID
313,2018,D53,Home Invasion,10,0,Pre-COVID
314,2023,D52,Other,7,0,Post-COVID
316,2023,D13,Property Theft,10,0,Post-COVID
317,2018,D13,Property Theft,1,0,Pre-COVID
319,2022,D33,Home Invasion,1,0,Post-COVID
320,2019,D13,Property Theft,1,0,Pre-COVID
321,2023,D53,Home Invasion,1,0,Post-COVID
323,2020,D12,Property Theft,2,0,Post-COVID
325,2016,NSA,Fraud,1,0,Pre-COVID
326,2021,D51,Home Invasion,2,0,Post-COVID
327,2022,D22,Home Invasion,2,0,Post-COVID
328,2020,D41,Home Invasion,1,0,Post-COVID
329,2018,D13,Home Invasion,3,0,Pre-COVID
330,2016,D32,Home Invasion,2,0,Pre-COVID
331,2021,D51,Other,1,0,Post-COVID
332,2023,D13,Property Theft,2,0,Post-COVID
333,2016,D33,Attempt Murder,1,0,Pre-COVID
334,2019,D43,Property Theft,3,0,Pre-COVID
335,2023,D41,Property Theft,45,0,Post-COVID
336,2020,D32,Home Invasion,4,0,Post-COVID
337,2016,D32,Property Theft,1,0,Pre-COVID
338,2021,D53,Home Invasion,1,0,Post-COVID
340,2022,D12,Fraud,12,0,Post-COVID
342,2016,D14,Property Theft,3,0,Pre-COVID
344,2021,D13,Home Invasion,5,0,Post-COVID
345,2019,D13,Home Invasion,1,0,Pre-COVID
346,2020,D11,Robbery-Other,1,0,Post-COVID
347,2022,D55,Fraud,43,0,Post-COVID
348,2020,D12,Home Invasion,1,0,Post-COVID
349,2018,D23,Home Invasion,1,0,Pre-COVID
350,2016,D55,Property Theft,3,0,Pre-COVID
351,2021,NSA,Property Theft,1,0,Post-COVID
353,2018,D33,Home Invasion,4,0,Pre-COVID
354,2022,D53,Property Theft,1,0,Post-COVID
355,2016,D55,Property Theft,7,0,Pre-COVID
356,2018,NSA,Fraud,1,0,Pre-COVID
357,2018,D12,Home Invasion,4,0,Pre-COVID
358,2017,D43,Property Theft,1,0,Pre-COVID
359,2020,D53,Home Invasion,4,0,Post-COVID
360,2020,D31,Other,3,0,Post-COVID
362,2017,D32,Home Invasion,1,0,Pre-COVID
363,2019,D42,Home Invasion,26,0,Pre-COVID
364,2016,D22,Home Invasion,3,0,Pre-COVID
365,2021,D22,Home Invasion,11,0,Post-COVID
366,2018,D23,Property Theft,3,0,Pre-COVID
367,2017,D51,Other,2,0,Pre-COVID
368,2023,D41,Other,24,0,Post-COVID
369,2021,D53,Property Theft,3,0,Post-COVID
370,2020,D32,Home Invasion,2,0,Post-COVID
371,2018,D55,Assault,1,0,Pre-COVID
373,2018,D13,Home Invasion,3,0,Pre-COVID
374,2016,D13,Property Theft,3,0,Pre-COVID
375,2022,D12,Property Theft,13,0,Post-COVID
376,2023,D55,Sexual Violation,1,0,Post-COVID
377,2021,D33,Home Invasion,1,0,Post-COVID
379,2016,D55,Home Invasion,12,0,Pre-COVID
381,2018,D41,Home Invasion,2,0,Pre-COVID
382,2019,NSA,Fraud,1,0,Pre-COVID
383,2016,D13,Home Invasion,1,0,Pre-COVID
384,2021,D51,Property Theft,85,0,Post-COVID
385,2021,NSA,Property Theft,1,0,Post-COVID
387,2016,D11,Home Invasion,5,0,Pre-COVID
389,2019,D32,Home Invasion,3,0,Pre-COVID
390,2017,D53,Other,1,0,Pre-COVID
391,2022,D53,Fraud,20,0,Post-COVID
392,2018,D14,Property Theft,7,0,Pre-COVID
393,2018,D13,Home Invasion,1,0,Pre-COVID
394,2022,D51,Property Theft,1,0,Post-COVID
395,2023,D32,Property Theft,1,0,Post-COVID
396,2017,D11,Assault,1,0,Pre-COVID
397,2018,D13,Robbery-Other,1,0,Pre-COVID
398,2016,D12,Other Criminal Violations - Offensive Weapons,1,0,Pre-COVID
399,2021,D42,Sexual Violation,1,0,Post-COVID
400,2021,D53,Property Theft,6,0,Post-COVID
401,2016,D53,Home Invasion,1,0,Pre-COVID
402,2016,D32,Property Theft,1,0,Pre-COVID
403,2016,D13,Home Invasion,1,0,Pre-COVID
404,2017,NSA,Sexual Violation,1,0,Pre-COVID
405,2022,D33,Home Invasion,2,0,Post-COVID
406,2020,D32,Home Invasion,1,0,Post-COVID
407,2018,D11,Home Invasion,5,0,Pre-COVID
408,2023,D12,Fraud,13,0,Post-COVID
412,2018,D11,Home Invasion,17,0,Pre-COVID
413,2019,D53,Sexual Violation,1,0,Pre-COVID
414,2021,D43,Property Theft,4,0,Post-COVID
415,2020,D33,Fraud,29,0,Post-COVID
416,2023,D55,Property Theft,32,0,Post-COVID
417,2021,D53,Property Theft,23,0,Post-COVID
418,2019,D22,Home Invasion,2,0,Pre-COVID
419,2022,D32,Home Invasion,2,0,Post-COVID
420,2016,D51,Property Theft,1,0,Pre-COVID
421,2016,D23,Home Invasion,11,0,Pre-COVID
422,2020,D55,Property Theft,2,0,Post-COVID
423,2023,D43,Home Invasion,1,0,Post-COVID
424,2020,D32,Home Invasion,1,0,Post-COVID
425,2021,D55,Home Invasion,17,0,Post-COVID
426,2016,D53,Property Theft,5,0,Pre-COVID
427,2021,D13,Other,1,0,Post-COVID
428,2019,D55,Home Invasion,1,0,Pre-COVID
429,2021,D41,Property Theft,14,0,Post-COVID
430,2023,D14,Home Invasion,7,0,Post-COVID
431,2016,D32,Property Theft,28,0,Pre-COVID
432,2020,D12,Other,4,0,Post-COVID
433,2018,D43,Home Invasion,5,0,Pre-COVID
434,2016,D14,Sexual Violation,1,0,Pre-COVID
435,2016,D12,Property Theft,4,0,Pre-COVID
436,2021,D14,Property Theft,2,0,Post-COVID
437,2018,D33,Property Theft,2,0,Pre-COVID
438,2023,D43,Other,1,0,Post-COVID
439,2020,D12,Home Invasion,10,0,Post-COVID
440,2017,D51,Fraud,1,0,Pre-COVID
441,2022,D11,Home Invasion,3,0,Post-COVID
443,2018,D51,Home Invasion,2,0,Pre-COVID
444,2019,D53,Property Theft,1,0,Pre-COVID
445,2017,D41,Home Invasion,2,0,Pre-COVID
446,2018,NSA,Sexual Violation,1,0,Pre-COVID
447,2022,D53,Home Invasion,1,0,Post-COVID
448,2021,D23,Property Theft,2,0,Post-COVID
449,2019,D33,Property Theft,1,0,Pre-COVID
450,2016,D23,Home Invasion,4,0,Pre-COVID
453,2018,D53,Property Theft,3,0,Pre-COVID
454,2017,D43,Property Theft,1,0,Pre-COVID
455,2022,D51,Property Theft,11,0,Post-COVID
456,2018,D33,Home Invasion,16,0,Pre-COVID
458,2021,D11,Sexual Violation,1,0,Post-COVID
459,2019,D11,Sexual Violation,1,0,Pre-COVID
460,2016,D23,Sexual Violation,1,0,Pre-COVID
461,2021,D42,Property Theft,2,0,Post-COVID
462,2019,D14,Property Theft,6,0,Pre-COVID
463,2018,D23,Home Invasion,13,0,Pre-COVID
464,2023,D42,Property Theft,2,0,Post-COVID
465,2022,D32,Home Invasion,2,0,Post-COVID
467,2023,D33,Property Theft,1,0,Post-COVID
468,2020,D11,Property Theft,4,0,Post-COVID
469,2018,D33,Robbery-Other,1,0,Pre-COVID
470,2017,D22,Property Theft,6,0,Pre-COVID
471,2016,D13,Property Theft,5,0,Pre-COVID
474,2020,D23,Home Invasion,1,0,Post-COVID
475,2022,D43,Property Theft,7,0,Post-COVID
476,2019,D22,Property Theft,1,0,Pre-COVID
477,2021,D55,Home Invasion,8,0,Post-COVID
478,2019,D11,Home Invasion,10,0,Pre-COVID
479,2020,D32,Property Theft,1,0,Post-COVID
480,2019,D12,Property Theft,3,0,Pre-COVID
481,2022,D43,Property Theft,1,0,Post-COVID
482,2021,D33,Assault,1,0,Post-COVID
483,2022,D51,Property Theft,1,0,Post-COVID
485,2022,D53,Property Theft,41,0,Post-COVID
488,2017,D32,Home Invasion,4,0,Pre-COVID
489,2016,D22,Property Theft,1,0,Pre-COVID
490,2016,D14,Home Invasion,2,0,Pre-COVID
491,2020,D42,Home Invasion,2,0,Post-COVID
492,2016,D11,Property Theft,1,0,Pre-COVID
493,2023,D53,Property Theft,1,0,Post-COVID
495,2018,D23,Home Invasion,5,0,Pre-COVID
496,2018,D42,Home Invasion,2,0,Pre-COVID
497,2016,D33,Home Invasion,1,0,Pre-COVID
498,2019,D13,Home Invasion,1,0,Pre-COVID
499,2017,D14,Other,1,0,Pre-COVID
500,2016,D14,Property Theft,10,0,Pre-COVID
501,2021,D53,Property Theft,15,0,Post-COVID
502,2016,D53,Property Theft,1,0,Pre-COVID
503,2017,NSA,Assault,2,0,Pre-COVID
504,2017,D13,Robbery-Other,1,0,Pre-COVID
505,2017,D11,Fraud,1,0,Pre-COVID
507,2019,D12,Attempt Murder,7,0,Pre-COVID
508,2018,D51,Assault,1,0,Pre-COVID
509,2022,D32,Property Theft,4,0,Post-COVID
510,2023,D53,Home Invasion,5,0,Post-COVID
511,2021,D53,Property Theft,10,0,Post-COVID
512,2017,D23,Home Invasion,4,0,Pre-COVID
513,2022,D51,Property Theft,19,0,Post-COVID
515,2017,D23,Property Theft,43,0,Pre-COVID
516,2021,D32,Home Invasion,5,0,Post-COVID
517,2020,NSA,Fraud,1,0,Post-COVID
519,2018,D53,Property Theft,13,0,Pre-COVID
520,2017,D52,Property Theft,1,0,Pre-COVID
521,2021,D11,Property Theft,1,0,Post-COVID
522,2022,D14,Property Theft,4,0,Post-COVID
523,2018,D33,Robbery-Other,1,0,Pre-COVID
524,2019,D23,Home Invasion,1,0,Pre-COVID
525,2023,D42,Home Invasion,2,0,Post-COVID
526,2023,D23,Property Theft,8,0,Post-COVID
527,2023,D41,Robbery-Financial,1,0,Post-COVID
529,2019,D22,Property Theft,41,0,Pre-COVID
530,2017,D43,Home Invasion,1,0,Pre-COVID
531,2023,D32,Property Theft,37,0,Post-COVID
532,2018,D43,Home Invasion,1,0,Pre-COVID
533,2023,D41,Home Invasion,3,0,Post-COVID
534,2016,D14,Property Theft,12,0,Pre-COVID
536,2016,D22,Home Invasion,1,0,Pre-COVID
537,2020,D33,Home Invasion,3,0,Post-COVID
538,2017,D51,Property Theft,2,0,Pre-COVID
540,2019,D43,Fraud,4,0,Pre-COVID
541,2021,D33,Robbery-Other,2,0,Post-COVID
542,2023,D22,Fraud,1,0,Post-COVID
543,2023,D22,Property Theft,5,0,Post-COVID
544,2022,D43,Property Theft,2,0,Post-COVID
545,2021,D22,Assault,1,0,Post-COVID
546,2017,D22,Assault,1,0,Pre-COVID
547,2017,D33,Other,1,0,Pre-COVID
548,2022,D33,Fraud,4,0,Post-COVID
549,2022,D14,Property Theft,12,0,Post-COVID
550,2023,D51,Attempt Murder,3,0,Post-COVID
552,2020,D53,Property Theft,12,0,Post-COVID
553,2022,D32,Home Invasion,4,0,Post-COVID
556,2016,D11,Attempt Murder,1,0,Pre-COVID
557,2023,D22,Home Invasion,2,0,Post-COVID
558,2018,D23,Property Theft,1,0,Pre-COVID
559,2023,NSA,Sexual Violation,1,0,Post-COVID
560,2023,D53,Robbery-Other,1,0,Post-COVID
561,2019,D32,Home Invasion,7,0,Pre-COVID
562,2018,D53,Other,9,0,Pre-COVID
564,2020,D12,Property Theft,25,0,Post-COVID
565,2019,D22,Property Theft,12,0,Pre-COVID
567,2021,D22,Property Theft,2,0,Post-COVID
568,2022,D11,Fraud,11,0,Post-COVID
569,2022,D11,Home Invasion,2,0,Post-COVID
570,2016,D13,Home Invasion,1,0,Pre-COVID
571,2020,D22,Home Invasion,7,0,Post-COVID
572,2016,D23,Home Invasion,2,0,Pre-COVID
573,2016,D52,Robbery-Other,2,0,Pre-COVID
575,2023,D43,Home Invasion,1,0,Post-COVID
576,2022,D42,Robbery-Other,7,0,Post-COVID
577,2018,D12,Home Invasion,1,0,Pre-COVID
579,2018,D12,Home Invasion,8,0,Pre-COVID
580,2016,D14,Property Theft,2,0,Pre-COVID
581,2019,D52,Home Invasion,2,0,Pre-COVID
582,2020,D12,Property Theft,10,0,Post-COVID
585,2021,D32,Property Theft,30,0,Post-COVID
586,2016,D33,Home Invasion,2,0,Pre-COVID
588,2019,D22,Home Invasion,7,0,Pre-COVID
589,2018,D13,Property Theft,2,0,Pre-COVID
590,2022,D51,Home Invasion,1,0,Post-COVID
591,2018,D32,Property Theft,7,0,Pre-COVID
592,2016,D31,Property Theft,1,0,Pre-COVID
594,2017,D52,Property Theft,1,0,Pre-COVID
595,2023,D41,Property Theft,7,0,Post-COVID
597,2022,D13,Home Invasion,4,0,Post-COVID
598,2017,D55,Home Invasion,2,0,Pre-COVID
599,2019,D23,Home Invasion,3,0,Pre-COVID
600,2021,D14,Home Invasion,10,0,Post-COVID
601,2021,D43,Property Theft,2,0,Post-COVID
602,2019,D31,Home Invasion,1,0,Pre-COVID
603,2017,D23,Home Invasion,1,0,Pre-COVID
604,2022,D12,Home Invasion,6,0,Post-COVID
606,2022,D52,Property Theft,21,0,Post-COVID
609,2018,D11,Property Theft,2,0,Pre-COVID
610,2020,D43,Property Theft,4,0,Post-COVID
611,2023,D52,Property Theft,20,0,Post-COVID
612,2022,D13,Robbery-Other,3,0,Post-COVID
613,2018,D51,Home Invasion,1,0,Pre-COVID
615,2019,D51,Property Theft,7,0,Pre-COVID
616,2019,D43,Property Theft,2,0,Pre-COVID
617,2018,D22,Property Theft,18,0,Pre-COVID
618,2018,D55,Attempt Murder,1,0,Pre-COVID
619,2023,D31,Home Invasion,1,0,Post-COVID
620,2019,D13,Home Invasion,4,0,Pre-COVID
621,2022,D53,Home Invasion,9,0,Post-COVID
622,2021,D12,Home Invasion,1,0,Post-COVID
623,2019,D42,Property Theft,3,0,Pre-COVID
624,2022,D12,Home Invasion,2,0,Post-COVID
625,2020,D51,Robbery-Other,3,0,Post-COVID
626,2017,D33,Property Theft,5,0,Pre-COVID
627,2016,D52,Property Theft,1,0,Pre-COVID
628,2018,D14,Home Invasion,6,0,Pre-COVID
629,2017,D13,Home Invasion,3,0,Pre-COVID
630,2020,D13,Fraud,19,0,Post-COVID
631,2017,D32,Property Theft,1,0,Pre-COVID
632,2022,D22,Other,1,0,Post-COVID
633,2016,D12,Property Theft,11,0,Pre-COVID
635,2016,D55,Property Theft,4,0,Pre-COVID
636,2021,D11,Robbery-Other,1,0,Post-COVID
637,2023,D22,Property Theft,2,0,Post-COVID
638,2019,D32,Robbery-Financial,1,0,Pre-COVID
639,2017,D33,Property Theft,1,0,Pre-COVID
640,2016,NSA,Fraud,1,0,Pre-COVID
641,2022,D31,Other,1,0,Post-COVID
642,2018,D53,Home Invasion,1,0,Pre-COVID
643,2019,D31,Home Invasion,1,0,Pre-COVID
645,2023,D14,Property Theft,28,0,Post-COVID
646,2022,D23,Home Invasion,4,0,Post-COVID
647,2023,D22,Fraud,30,0,Post-COVID
648,2018,D32,Fraud,29,0,Pre-COVID
649,2020,D42,Home Invasion,11,0,Post-COVID
651,2018,D53,Home Invasion,10,0,Pre-COVID
652,2022,D11,Property Theft,1,0,Post-COVID
653,2023,D22,Home Invasion,10,0,Post-COVID
654,2016,D22,Other,1,0,Pre-COVID
655,2021,D55,Property Theft,19,0,Post-COVID
656,2018,D42,Home Invasion,1,0,Pre-COVID
657,2022,D12,Home Invasion,7,0,Post-COVID
658,2017,D33,Property Theft,9,0,Pre-COVID
659,2016,D43,Home Invasion,2,0,Pre-COVID
660,2018,D23,Home Invasion,2,0,Pre-COVID
661,2021,D11,Home Invasion,1,0,Post-COVID
